"","dc_key","race","sex","fatal","date","has_court_case","age","street_name","block_number","zip_code","council_district","police_district","neighborhood","house_district","senate_district","school_catchment","lng","lat","year"
"169","2.02439E+11","Black (Non-Hispanic)","Male","Nonfatal","12/31/2023 4:57","No",42,"OLD YORK RD",5500,19141,9,35,"Logan",201,3,"Lindley Academy Charter at Birney",-75.144636,40.036944,2023
"170","2.02324E+11","Hispanic (Black or White)","Male","Fatal","12/31/2023 3:35","No",38,"E MADISON ST",800,19134,7,24,"Upper Kensington",180,2,"Philip H. Sheridan School",-75.115145,39.997607,2023
"171","2.02315E+11","White (Non-Hispanic)","Male","Nonfatal","12/31/2023 3:13","No",24,"COTTMAN AVE",5000,19136,6,15,"Wissinoming-Tacony",173,5,"Edwin Forrest School",-75.031344,40.025337,2023
"172","2.02314E+11","Black (Non-Hispanic)","Male","Nonfatal","12/30/2023 22:56","No",43,"W CHELTEN AVE",0,19144,8,14,"Germantown",198,3,"John B. Kelly School",-75.175045,40.035204,2023
"173","2.02339E+11","Hispanic (Black or White)","Male","Nonfatal","12/30/2023 11:32","Yes",29,"W TIOGA ST",1700,19140,8,39,"Nicetown-Tioga",198,3,"Mastery Charter School at Cleveland",-75.156844,40.00685,2023
"174","2.02316E+11","Black (Non-Hispanic)","Male","Nonfatal","12/30/2023 3:00","No",18,"BELMONT AVE",1000,19104,3,16,"Mill Creek-Parkside",190,7,"Rudolph Blankenburg School",-75.211786,39.97163,2023
"175","2.02316E+11","Black (Non-Hispanic)","Male","Nonfatal","12/30/2023 1:00","No",32,"FILBERT ST",3800,19104,3,16,"University City",190,7,"Samuel Powel School",-75.199464,39.957622,2023
"176","2.02312E+11","Asian","Male","Nonfatal","12/30/2023 0:17","Yes",18,"LYONS AVE",8200,19153,2,12,"Eastwick-Elmwood",185,1,"Penrose School",-75.246985,39.897991,2023
"177","2.02324E+11","Black (Non-Hispanic)","Male","Nonfatal","12/29/2023 23:54","No",43,"HELEN ST",3000,19134,1,24,"Upper Kensington",175,1,"Frances E. Willard School",-75.115274,39.9929,2023
"178","2.02325E+11","Black (Non-Hispanic)","Male","Nonfatal","12/29/2023 18:33","No",32,"N 8TH ST",2800,19133,5,25,"Hunting Park-Fairhill",197,3,"Potter-Thomas School",-75.144686,39.994588,2023
"179","2.02339E+11","Black (Non-Hispanic)","Male","Nonfatal","12/29/2023 0:15","No",16,"GERMANTOWN AVE",4400,19144,8,39,"Nicetown-Tioga",198,3,"Edward T. Steel School",-75.158647,40.022398,2023
"180","2.02308E+11","Black (Non-Hispanic)","Male","Fatal","12/28/2023 23:26","No",33,"WOODHAVEN RD",3500,19154,10,8,"Torresdale North",170,5,"Stephen Decatur School",-74.978305,40.093753,2023
"181","2.02312E+11","Black (Non-Hispanic)","Male","Nonfatal","12/28/2023 13:30","No",21,"S 61ST ST",1900,19142,2,12,"Paschall-Kingsessing",191,8,"Joseph W. Catharine School",-75.23355,39.932163,2023
"182","2.02312E+11","Black (Non-Hispanic)","Male","Fatal","12/28/2023 13:30","No",28,"S 61ST ST",1900,19142,2,12,"Paschall-Kingsessing",191,8,"Joseph W. Catharine School",-75.23355,39.932163,2023
"183","2.02322E+11","Hispanic (Black or White)","Male","Fatal","12/28/2023 1:19","No",20,"WESTMONT ST",2900,19121,5,22,"Strawberry Mansion",195,3,"Richard R. Wright School",-75.181367,39.988578,2023
"184","2.02312E+11","Black (Non-Hispanic)","Male","Nonfatal","12/27/2023 0:04","Yes",45,"S 68TH ST",3000,19142,2,12,"Eastwick-Elmwood",185,8,"John M. Patterson School",-75.228252,39.914364,2023
"185","2.02319E+11","Black (Non-Hispanic)","Male","Nonfatal","12/26/2023 22:50","Yes",26,"MASTER ST",5500,19131,4,19,"Haddington-Overbrook",192,7,"Universal Charter School at Bluford",-75.232027,39.973581,2023
"186","2.02302E+11","Black (Non-Hispanic)","Male","Nonfatal","12/26/2023 17:38","No",36,"RISING SUN AVE",5800,19120,9,2,"Lawndale-Crescentville",203,2,"Benjamin Franklin School",-75.103747,40.043313,2023
"187","2.02324E+11","Hispanic (Black or White)","Male","Nonfatal","12/25/2023 15:43","No",47,"CASTOR AVE",3600,19134,1,24,"Juniata Park-Harrowgate",177,5,"John H. Webster School",-75.100099,40.001019,2023
"188","2.02326E+11","Black (Non-Hispanic)","Male","Nonfatal","12/24/2023 23:58","No",28,"W HUNTINGDON ST",700,19133,5,26,"Northern Liberties-West Kensington",197,3,"John F. Hartranft School",-75.144206,39.990966,2023
"189","2.02325E+11","Hispanic (Black or White)","Male","Nonfatal","12/24/2023 4:35","No",22,"E ERIE AVE",100,19134,7,25,"Hunting Park-Fairhill",180,2,"Clara Barton School",-75.125462,40.007407,2023
"190","2.02318E+11","Black (Non-Hispanic)","Male","Nonfatal","12/23/2023 16:43","No",27,"SPRUCE ST",5200,19139,3,18,"Cobbs Creek",190,8,"Global Leadership Academy at Huey",-75.226564,39.954728,2023
"191","2.02324E+11","Hispanic (Black or White)","Female","Fatal","12/23/2023 12:38","Yes",35,"HARTVILLE ST",3100,19134,7,24,"Upper Kensington",180,2,"Lewis Elkin School",-75.12026,39.99589,2023
"192","2.02312E+11","Black (Non-Hispanic)","Male","Nonfatal","12/22/2023 20:41","No",38,"BARTRAM DR",5400,19143,3,12,"Paschall-Kingsessing",191,8,"Benjamin B. Comegys School",-75.21502,39.931355,2023
